ROI,Name
150,LH_PGi
151,LH_PGs
152,LH_V6A
153,LH_VMV1
154,LH_VMV3
155,LH_PHA2
156,LH_V4t
157,LH_FST
158,LH_V3CD
159,LH_LO3
160,LH_VMV2
161,LH_31pd
162,LH_31a
163,LH_VVC
164,LH_25
165,LH_s32
166,LH_pOFC
167,LH_PoI1
168,LH_Ig
169,LH_FOP5
170,LH_p10p
171,LH_p47r
172,LH_TGv
173,LH_MBelt
174,LH_LBelt
175,LH_A4
176,LH_STSva
177,LH_TE1m
178,LH_PI
179,LH_a32pr
180,LH_p24
181,RH_V1
182,RH_MST
183,RH_V6
184,RH_V2
185,RH_V3
186,RH_V4
187,RH_V8
188,RH_4
189,RH_3b
190,RH_FEF
191,RH_PEF
192,RH_55b
193,RH_V3A
194,RH_RSC
195,RH_POS2
196,RH_V7
197,RH_IPS1
198,RH_FFC
199,RH_V3B
200,RH_LO1
201,RH_LO2
202,RH_PIT
203,RH_MT
204,RH_A1
205,RH_PSL
206,RH_SFL
207,RH_PCV
208,RH_STV
209,RH_7Pm
210,RH_7m
211,RH_POS1
212,RH_23d
213,RH_v23ab
214,RH_d23ab
215,RH_31pv
216,RH_5m
217,RH_5mv
218,RH_23c
219,RH_5L
220,RH_24dd
221,RH_24dv
222,RH_7AL
223,RH_SCEF
224,RH_6ma
225,RH_7Am
226,RH_7Pl
227,RH_7PC
228,RH_LIPv
229,RH_VIP
230,RH_MIP
231,RH_1
232,RH_2
233,RH_3a
234,RH_6d
235,RH_6mp
236,RH_6v
237,RH_p24pr
238,RH_33pr
239,RH_a24pr
240,RH_p32pr
241,RH_a24
242,RH_d32
243,RH_8BM
244,RH_p32
245,RH_10r
246,RH_47m
247,RH_8Av
248,RH_8Ad
249,RH_9m
250,RH_8BL
251,RH_9p
252,RH_10d
253,RH_8C
254,RH_44
255,RH_45
256,RH_47l
257,RH_a47r
258,RH_6r
259,RH_IFJa
260,RH_IFJp
261,RH_IFSp
262,RH_IFSa
263,RH_p9-46v
264,RH_46
265,RH_a9-46v
266,RH_9-46d
267,RH_9a
268,RH_10v
269,RH_a10p
270,RH_10pp
271,RH_11l
272,RH_13l
273,RH_OFC
274,RH_47s
275,RH_LIPd
276,RH_6a
277,RH_i6-8
278,RH_s6-8
279,RH_43
280,RH_OP4
281,RH_OP1
282,RH_OP2-3
283,RH_52
284,RH_RI
285,RH_PFcm
286,RH_PoI2
287,RH_TA2
288,RH_FOP4
289,RH_MI
290,RH_Pir
291,RH_AVI
292,RH_AAIC
293,RH_FOP1
294,RH_FOP3
295,RH_FOP2
296,RH_PFt
297,RH_AIP
298,RH_EC
299,RH_PreS
300,RH_H
301,RH_ProS
302,RH_PeEc
303,RH_STGa
304,RH_PBelt
305,RH_A5
306,RH_PHA1
307,RH_PHA3
308,RH_STSda
309,RH_STSdp
310,RH_STSvp
311,RH_TGd
312,RH_TE1a
313,RH_TE1p
314,RH_TE2a
315,RH_TF
316,RH_TE2p
317,RH_PHT
318,RH_PH
319,RH_TPOJ1
320,RH_TPOJ2
321,RH_TPOJ3
322,RH_DVT
323,RH_PGp
324,RH_IP2
325,RH_IP1
326,RH_IP0
327,RH_PFop
328,RH_PF
329,RH_PFm
330,RH_PGi
331,RH_PGs
332,RH_V6A
333,RH_VMV1
334,RH_VMV3
335,RH_PHA2
336,RH_V4t
337,RH_FST
338,RH_V3CD
339,RH_LO3
340,RH_VMV2
341,RH_31pd
342,RH_31a
343,RH_VVC
344,RH_25
345,RH_s32
346,RH_pOFC
347,RH_PoI1
348,RH_Ig
349,RH_FOP5
350,RH_p10p
351,RH_p47r
352,RH_TGv
353,RH_MBelt
354,RH_LBelt
355,RH_A4
356,RH_STSva
357,RH_TE1m
358,RH_PI
359,RH_a32pr
360,RH_p24
